Country;Identifier;resource title;Database owner;ExternalID;Sharing policy;otherConstraints;SCORPAN;Remote sensed data;Reference year;frequency of data collection;spatial reference;spatial entity;geomety of mapping area;mapping area;ratio of map cover;Spatial resolution;other spatial reference;data collection methodology;method of mapping;depth intervals;with uncertainty quantification;IF  relevant,Was it compared with LUCAS data? IF YES, please  give a reference;YOUR OTHER COMMENTS
Spain;INIA-LTELaCanalejaES1;INIA-Experimental Farm La Canaleja (Madrid, Spain)- Soil fertility ;INIA;"https://doi.org/10.5424/sjar/2013111-3455;https://doi.org/10.1016/j.still.2005.10.006";Restricted;;S - Soil;no/not relevant;1995-2020;regular monitoring, yearly;NO, available as statistical data only;POINT;NETWORK of pilots/experiments or identified farms, boundary of units are related to management;;not relevant;;;topsoil only;Random;defined as  topsoil/subsoil  only, without any other desription;NO;No;Topsoil 0.30 m. Data were collected during a specific period within the LTE
Spain;INIA-LTELaCanalejaES2;INIA-Experimental Farm La Canaleja (Madrid, Spain)- Food, feed and fibre indicators;INIA;"https://10.1016/j.eja.2013.02.006 10.1016/j.still.2016.03.007; https://10.1080/15324982.2017.1307289; https://10.11111/aab.12620";Restricted;;;no/not relevant;1995-2020;regular monitoring, yearly;NO, available as statistical data only;POINT;NETWORK of pilots/experiments or identified farms, boundary of units are related to management;;not relevant;;;topsoil only;Random;defined as  topsoil/subsoil  only, without any other desription;No;No;Topsoil 0.30 m. Data were collected during a specific period within the LTE
Spain;INIA-LTELaCanalejaES3;INIA-Experimental Farm La Canaleja (Madrid, Spain)- Erosion control indicators;INIA;https://doi.org/10.2134/agronj2010.0210;Restricted;;S - Soil;no/not relevant;1995-2020;regular monitoring, yearly;NO, available as statistical data only;POINT;NETWORK of pilots/experiments or identified farms, boundary of units are related to management;;not relevant;;;topsoil only;Random;defined as  topsoil/subsoil  only, without any other desription;No;No;Topsoil 0.30 m. Data were collected during a specific period within the LTE
Spain;INIA-LTELaCanalejaES4;INIA-Experimental Farm La Canaleja (Madrid, Spain)- Climate regulation indicators;INIA;"https://doi.org/10.1016/j.eja.2016.12.013; https://doi.org/10.1016/j.agee.2016.01.047;   https://doi.org/10.5424/sjar/2013113-3747";Restricted;;;no/not relevant;1995-2020;regular monitoring, yearly;NO, available as statistical data only;POINT;NETWORK of pilots/experiments or identified farms, boundary of units are related to management;;not relevant;;;topsoil only;Random;defined as  topsoil/subsoil  only, without any other desription;No;No;Topsoil 0.30 m. Data were collected during a specific period within the LTE
Spain;INIA-LTELaCanalejaES5;INIA-Experimental Farm La Canaleja (Madrid, Spain)- Indicators for labile organic carbon;INIA;"https://doi.org/10.1016/j.apsoil.2015.08.021; https://doi.org/10.5424/sjar/2013111-3455; https://doi.org/10.1111/ejss.12997; ";Restricted;;S - Soil;no/not relevant;2005-2020;regular monitoring, yearly;NO, available as statistical data only;POINT;NETWORK of pilots/experiments or identified farms, boundary of units are related to management;;not relevant;;;topsoil only;Random;defined as  topsoil/subsoil  only, without any other desription;No;No;Topsoil 0.15 m. Data were collected during a specific period within the LTE
Spain;CSIC-LTECEBASTresCaminosES6;CEBAS Tres Caminos;CSIC;https://WWW.cebas.csic.es;Restricted;;S - Soil;no/not relevant;2008-2020;;NO, available as statistical data only;POINT;NETWORK of pilots/experiments or identified farms, boundary of units are related to management;;available as points;35;;topsoil only;purposive;defined as  topsoil/subsoil  only, without any other desription;;No;
Spain;CSIC-LTECEBASCiezaES7;CEBAS Cieza;CSIC;;Restricted;;S - Soil;no/not relevant;2006-2020;regular monitoring, yearly;NO, available as statistical data only;POINT;NETWORK of pilots/experiments or identified farms, boundary of units are related to management;;available as points;15;;topsoil only;Purposive;defined as  topsoil/subsoil  only, without any other desription;NO;No;
Spain;CSIC-LTEICALaPovedaES8;ICA La Poveda;CSIC;https://www.ica.csic.es;Restricted;;S - Soil;no/not relevant;2012-2020;regular monitoring, yearly;NO, available as statistical data only;POINT;NETWORK of pilots/experiments or identified farms, boundary of units are related to management;;available as points;48;;topsoil only;Purposive;defined as  topsoil/subsoil  only, without any other desription;NO;no;Topsoil 0.15 m
Spain;CSIC-LTEEEADSenesES9;Senés experimental farm;CSIC;;Restricted;;;no/not relevant;2010;regular monitoring, yearly;NO, available as statistical data only;;NETWORK of pilots/experiments or identified farms, boundary of units are related to management;;not relevant;;;topsoil only;purposive;defined as  topsoil/subsoil  only, without any other desription;NO;No;Topsoil= 0,5 m (at 0,05 - 0,1 - 0,25 - 0,5 m)
Spain;CSIC-LTEIRNASASalamancaES10;IRNASA;CSIC;;Restricted;;S - Soil;no/not relevant;;;;;NETWORK of pilots/experiments or identified farms, boundary of units are related to management;;available as points;15;;Whole profile by fixed depths intervals;regular;otherRestrictions;NO;No;Whole profile by fixed depths intervals,0.1 - 0.2 - 0.3 - 0.4 - 0.5 - 0.6 - 0.7 - 0.8 - 0.9 - 1.0 m
