Country;Title;Identification;Abstract;Keywords;Soil properties;Format;Resource locator;Layer;Format2;Resource locator2;Layer2;link_to_viewer;Language;Language2;temporal reference;date of temporal reference;temporal extent-start;temporal extent-end;interval of dates;mix indivual and interval;spatial resolution scale;spatial resolution distance;Usage constraints;Access constraints;name of organisation;email address;contact person;responsible party role;Soil function;Soil threats;Soil Indicators;Source;Lineage;Soil function;Soil threats;Soil Indicators;Done;Comment
Austria;Karbonatgehalt in Oberböden Österreichs; ;Topsoil Carbonate content of Austria; soil type, basic soil properties;calcium carbonate ;XLS;https://www.umweltbundesamt.at/umweltsituation/boden/boris/boris_datenzugang/; ;PDF;https://www.umweltbundesamt.at/fileadmin/site/umweltthemen/boden/BORIS/Karbonatgehalt_Referenzwerteband.pdf; ;https://boris.umweltbundesamt.at/borisdaten/alias.xhtml?alias=Login;ger;;pubblication;2004;;;;;1:250000;;filled online order form;;umweltbundesamt enviroment agency Austria;boden@umweltbundesamt.at;;Resource provider;;;;;;;;;;
Austria;Organischer Kholenstoffvorrat in Oberboden (ASCOC); ;Organic carbon stock in topsoil (ASCOC). Humus / carbon storage and changes in organic carbon content (Corg); soil type, basic soil properties;carbon stock;XLS;https://www.umweltbundesamt.at/umweltsituation/boden/boris/boris_datenzugang/; ;;; ;https://boris.umweltbundesamt.at/borisdaten/alias.xhtml?alias=Login;ger;;creation;1992;;;;;;1KM;filled online order form;;umweltbundesamt enviroment agency Austria;boden@umweltbundesamt.at;;Resource provider;;;;;;;;;;
Austria;pH-Wert in Oberböden Österreichs; ;Topsoil pH value (CaCl2) (0-10/20 cm) of Austria; soil type, basic soil properties;pH;XLS;https://www.umweltbundesamt.at/umweltsituation/boden/boris/boris_datenzugang/; ;PDF;https://www.umweltbundesamt.at/fileadmin/site/umweltthemen/boden/BORIS/pH_Wert_Referenzwerteband.pdf; ;https://boris.umweltbundesamt.at/borisdaten/alias.xhtml?alias=Login;ger;;pubblication;2004;;;;;1:250000;;filled online order form;;umweltbundesamt enviroment agency Austria;boden@umweltbundesamt.at;;Resource provider;;;;;;;;;;
Austria;SCHWERMETALL in Oberboden unter Berücksichtigung der Karbonatbeeinflussung; ;Heavy metal content in topsoil under consideration of the carbonate influence;soil degradation processes;soil contamination;XLS;https://www.umweltbundesamt.at/fileadmin/site/umweltthemen/boden/BORIS/10_BORIS_Co_imOberboden_nachKarbonateinfluss.pdf; ;;; ;https://boris.umweltbundesamt.at/borisdaten/alias.xhtml?alias=Login;ger;;pubblication;2004;;;;;;4Km;filled online order form;;umweltbundesamt enviroment agency Austria;publikationen@umweltbundesamt.at;Alexandra Freudenschuß;Resource provider;;;;;;;;;;
Austria;Bodenkarte von Österreich eBOD; ;The digital soil map of Austria eBOD. Several characteristics, e.g. Parent material, soil type,  coarse fraction or humus and carbonate content; soil type, basic soil properties;Soil Map;SHP;http://geo.bfw.ac.at/boden/downloads/boka_1km_etrs89_2016.zip; ;;; ;https://bodenkarte.at/;ger;;last revision;28-6-2019;1917;2018;1917-2018;;;1KM;no conditions apply;;Bundesforschungszentrum für Wald;eBod2@bfw.gv.at;Michael Wandl;Resource provider;;;;;;;;;;
Austria;General Soil Map (Austria); ;The General Soil Map is part of the Hydrological Atlas Austria (HAÖ); soil type, basic soil properties;Soil Map;SHP;https://iwhw.boku.ac.at/hao/; ;;; ;http://alpinesoils.eu/webgis_app/index.html;ger;;last revision;2005;1997;2005;1997-2005;;1:1 M;;filled online order form;;Institute of Water Management, Hydrology and Hydraulic Engineering;office@kunstundkulturverlag.at;;Resource provider;;;;;;;;;;
Austria;FAO Bodengruppen; ;Soil systematic of Austria 1969; soil type, basic soil properties;Soil Map;XLS;https://www.umweltbundesamt.at/umweltsituation/boden/boris/boris_datenzugang/; ;;; ;https://boris.umweltbundesamt.at/borisdaten/alias.xhtml?alias=Login;ger;;creation;1989;1969;1969;;;1:1 M;;filled online order form;;umweltbundesamt enviroment agency Austria;boden@umweltbundesamt.at;;Resource provider;;;;;;;;;;
Austria;Bodenkarte aus dem Hydrologischen Atlas Osterreich; ;Soil map from the Hydrological Atlas Austria; soil type, basic soil properties;soil moisture;XLS;https://www.umweltbundesamt.at/umweltsituation/boden/boris/boris_datenzugang/; ;;; ;https://boris.umweltbundesamt.at/borisdaten/alias.xhtml?alias=Login;ger;;creation;1992;;;;;;1KM;filled online order form;;umweltbundesamt enviroment agency Austria;boden@umweltbundesamt.at;;Resource provider;;;;;;;;;;
Austria;Tongehalt in Oberböden Österreichs; ;Topsoil clay content in Austria(0-10/20 cm) ; soil type, basic soil properties;texture ;XLS;https://www.umweltbundesamt.at/umweltsituation/boden/boris/boris_datenzugang/;;PDF;https://www.umweltbundesamt.at/fileadmin/site/umweltthemen/boden/BORIS/Tongehalt_Referenzwerteband.pdf; ;;ger;;pubblication;1-1-2004;;;;;1:250000;4Km;filled online order form;;umweltbundesamt enviroment agency Austria;publikationen@umweltbundesamt.at;;Resource provider;;;;;;;;;;
Belgium;Soil Organic Carbon Stock Maps for Belgium;bf8c35ad-ab45-4084-b1e1-3042c66204aa;Soil Organic Carbon Stock Maps for Belgium: mean (40 m grid); soil type, basic soil properties;carbon stock;wms;https://www.dov.vlaanderen.be/geoserver/organische_koolstof/wms?layers=carbon_40;carbon_40;;;;https://www.dov.vlaanderen.be/portaal/?module=public-bodemverkenner;dut;eng;pubblication;2018-01-15;an interval of dates;;1949-2019;;;40m;no conditions apply;no limitation;Vlaams Planbureau voor Omgeving (VPO), Departement Omgeving, Vlaamse overheid;vpo.omgeving@vlaanderen.be;Graaf De Ferraris;Custodian;;;;;;;;;Yes;Opening https://www.dov.vlaanderen.be/geonetwork#/metadata/bf8c35ad-ab45-4084-b1e1-3042c66204aa: link broken
