project,identifier,title
EJP Soil,10.5281/zenodo.16410830,"Erosion susceptibility of agricultural lands, 2021"
EJP Soil,10.3220/DATA20200203151139,First German Agricultural Soil Inventory – Core dataset
EJP Soil,10.5281/zenodo.15829722,Database Knowledge needs and Initiatives: Qualitative results
EJP Soil,10.5061/dryad.wwpzgmssd,Data from: Biogeographical variation in termite distributions alters global deadwood decay
EJP Soil,10.57745/1OXJV0,"Etude 4pour1000 : Economic data for publication of the article ""A Marginal Abatement Cost Curve for Climate Change Mitigation by additional carbon storage in French agricultural land"""
EJP Soil,10.6084/m9.figshare.21266463,Mathematical techniques to remove moisture effects from visible–near-infrared–shortwave-infrared soil spectra—review
EJP Soil,10.20387/bonares-40kc-2661,Provision of Metadata of European Agricultural Long-Term Experiments through BonaRes and EJP SOIL Collaboration
EJP Soil,10.20387/bonares-jwhj-z839,"A catalog of meta-data about agricultural long-term field experiments in Europe (EJP SOIL 7.3) (Data collection, parent table)"
EJP Soil,10.20387/bonares-q9b3-z989,Open-source Tension-disk Infiltrometer Meta-Databse (OTIM-DB)
EJP Soil,10.57745/YKZDFI,"Etude 4pour1000 : BANCO simulation data for publication of the article ""A Marginal Abatement Cost Curve for Climate Change Mitigation by additional carbon storage in French agricultural land"""
EJP Soil,10.5281/zenodo.13988072,"Dataset of physical, biological and chemical soil properties from 10 European long-term experiments"
EJP Soil,10.6084/m9.figshare.14987130.v9,Software EX-TRACT
EJP Soil,10.5281/zenodo.14733169,A collaborative effort to collect Soil datasets in Europe - EJP SOIL metadata catalogue
EJP Soil,10.5281/zenodo.15114209,EJP Soil double sampling study (Task 6.3): physicochemical soil data of 166 Belgian LUCAS 2022 sampling points
EJP Soil,10.6084/m9.figshare.7637210.v2,"A global, empirical, harmonised dataset of Soil Organic Carbon under Perennial Crops"
EJP Soil,10.5281/zenodo.14845589,Data from: Comparison and evaluation of sampling and eDNA metabarcoding protocols to assess soil biodiversity in Belgian LUCAS Biopoints
EJP Soil,10.5281/zenodo.14726493,"European-scale responses of yields, soil organic carbon stocks, nitrous oxide emissions and nitrate leaching to a 20 % reduction in mineral nitrogen fertilization"
EJP Soil,10.5281/zenodo.14777801,EJPSOIL CarboSeq crop and soil management database
EJP Soil,10.5281/zenodo.14748909,"Questionnaire and survey results to the report ""Inventory of the use of models for accounting and policy support (soil quality and soil carbon)"""
EJP Soil,10.5281/zenodo.14527915,Dataset to Schiedung et al. (2025): Separating fast from slow cycling soil organic carbon – A multi-method comparison on land use change sites
EJP Soil,10.5281/zenodo.14515034,Grassland database WP4 CarboSeq
EJP Soil,10.5281/zenodo.14142546,INSURE_fielddata_WP1_07-11-2024_Lang
EJP Soil,10.5281/zenodo.14242897,Root Shoot Database
EJP Soil,10.5281/zenodo.14186760,EJPSOIL ARTEMIS on-farm monitoring of soil health and ecosystems services (meta)data
